,date,day,month,year,Mon,Tue,Wed,Thu,Fri,Sat,Sun,pressure,temperature,humidity,windspeed,wind_direction,maximum_windspeed_x,maximum_wind_direction,rainfall,volume,level,alarms_count,price,D+1,D+3,D+5,D+7
7403,2021-05-08,08,05,2021,0,0,0,0,1,0,0,970.9271839751692,24.3633266041483,81.94061768185983,1.671049782856504,153.63545310433835,8.410092767047942,217.1969404121345,0.8448805037310682,162019.0,0,0.0,11.5,10.8,10.6,11.4,31.9
7404,2021-05-09,09,05,2021,0,0,0,0,0,1,0,970.5893771011924,24.49655082673422,80.09937381933938,1.438152892512805,157.9153221714415,7.135817720015077,216.2856381488204,0.0613289489029175,173546.0,0,0.0,10.8,11.0,10.4,13.0,22.0
7405,2021-05-11,11,05,2021,1,0,0,0,0,0,0,969.9145816838436,25.21062611314993,77.54235588168925,1.7378255602705794,158.51270351350368,8.036570885995848,211.8422872130629,0.01705726314187,170572.0,0,0.0,11.0,10.6,11.4,31.9,14.6
7406,2021-05-12,12,05,2021,0,1,0,0,0,0,0,970.2716547685714,25.663083877047114,75.66568099068792,1.6473808476782372,163.77148849993793,7.963392051977948,215.56245851854715,0.0802819471798075,159125.0,0,0.0,10.6,10.4,13.0,22.0,12.1
7407,2021-05-13,13,05,2021,0,0,1,0,0,0,0,970.3463329113396,25.627179305926663,79.36533923323442,1.5648304702542128,161.4750603056477,7.489836351165767,214.7619469592396,0.9059279669061908,130000.0,0,0.0,10.4,11.4,31.9,14.6,13.1
7408,2021-05-14,14,05,2021,0,0,0,1,0,0,0,970.7736651535656,25.565149846024863,78.23767965876634,1.6769417632165695,154.56016668862642,7.780818418195902,204.79541054031043,0.1038821403922792,129132.0,0,0.0,11.4,13.0,22.0,12.1,25.6
7409,2021-05-15,15,05,2021,0,0,0,0,1,0,0,970.3654818475098,25.78675377401177,76.94308064076306,1.88643439824112,161.6370897655495,8.535521397437307,196.0092357837997,0.152081813060037,141005.0,0,0.0,13.0,31.9,14.6,13.1,27.3
7410,2021-05-16,16,05,2021,0,0,0,0,0,1,0,970.2754654808978,26.055329878758087,77.7827969778653,1.908365658470252,158.36704066571315,8.689493657976492,204.6087695426864,0.1192667557768946,120695.0,0,0.0,31.9,22.0,12.1,25.6,22.4
7411,2021-05-18,18,05,2021,1,0,0,0,0,0,0,971.3804355889896,25.65070267573542,80.73118224981256,1.6052570251594118,172.00370794549303,7.95396855613336,205.27352014220745,1.5042622950819673,185747.0,0,0.0,22.0,14.6,13.1,27.3,18.2
7412,2021-05-19,19,05,2021,0,1,0,0,0,0,0,969.8466602435818,25.754652299729308,79.83543908947453,1.796031367443863,157.75860463086946,8.70291338153294,208.83734067189965,1.518693924352999,161897.0,0,0.0,14.6,12.1,25.6,22.4,18.2
